slot_id,hospital_id,doctor_id,date,start_time,end_time,status
S001,H001,DOC001,2026-09-07,09:00,09:30,AVAILABLE
S002,H001,DOC001,2026-09-07,09:30,10:00,BOOKED
S003,H001,DOC002,2026-09-07,10:00,10:30,AVAILABLE
S004,H001,DOC003,2026-09-07,11:00,11:30,AVAILABLE
S005,H002,DOC004,2026-09-07,09:00,09:30,AVAILABLE
S006,H002,DOC005,2026-09-07,10:00,10:30,AVAILABLE
S007,H002,DOC006,2026-09-07,11:00,11:30,AVAILABLE
S008,H002,DOC007,2026-09-07,12:00,12:30,BOOKED
S009,H003,DOC008,2026-09-07,09:30,10:00,AVAILABLE
S010,H003,DOC009,2026-09-07,11:00,11:30,AVAILABLE
S011,H004,DOC010,2026-09-07,10:00,10:30,AVAILABLE
S012,H004,DOC011,2026-09-07,11:30,12:00,AVAILABLE
S013,H005,DOC012,2026-09-07,09:00,09:30,AVAILABLE
S014,H005,DOC013,2026-09-07,10:30,11:00,AVAILABLE
S015,H006,DOC014,2026-09-07,09:00,09:30,BOOKED
S016,H006,DOC015,2026-09-07,10:00,10:30,AVAILABLE
S017,H007,DOC016,2026-09-07,09:00,09:30,AVAILABLE
S018,H007,DOC017,2026-09-07,10:00,10:30,AVAILABLE
S019,H007,DOC018,2026-09-07,11:00,11:30,AVAILABLE
S020,H007,DOC019,2026-09-07,12:00,12:30,AVAILABLE
S021,H008,DOC020,2026-09-07,09:30,10:00,AVAILABLE
S022,H008,DOC021,2026-09-07,11:00,11:30,AVAILABLE
S023,H009,DOC022,2026-09-07,10:00,10:30,AVAILABLE
S024,H009,DOC023,2026-09-07,11:00,11:30,AVAILABLE
S025,H010,DOC024,2026-09-07,09:00,09:30,AVAILABLE
S026,H010,DOC025,2026-09-07,10:30,11:00,AVAILABLE
