medicine_id,hospital_id,medicine_name,stock_status
MED001,H001,Paracetamol,IN_STOCK
MED002,H001,Aspirin,IN_STOCK
MED003,H001,Atorvastatin,LOW_STOCK
MED004,H001,Amoxicillin,IN_STOCK
MED005,H002,Paracetamol,IN_STOCK
MED006,H002,Aspirin,IN_STOCK
MED007,H002,Atorvastatin,IN_STOCK
MED008,H002,Metformin,IN_STOCK
MED009,H003,Paracetamol,IN_STOCK
MED010,H003,Amoxicillin,LOW_STOCK
MED011,H003,Ibuprofen,IN_STOCK
MED012,H004,Paracetamol,IN_STOCK
MED013,H004,Ibuprofen,IN_STOCK
MED014,H004,Amoxicillin,NOT_IN_STOCK
MED015,H005,Paracetamol,IN_STOCK
MED016,H005,Aspirin,IN_STOCK
MED017,H005,Atorvastatin,LOW_STOCK
MED018,H006,Paracetamol,IN_STOCK
MED019,H006,Ibuprofen,IN_STOCK
MED020,H007,Paracetamol,IN_STOCK
MED021,H007,Aspirin,IN_STOCK
MED022,H007,Atorvastatin,IN_STOCK
MED023,H007,Metformin,IN_STOCK
MED024,H008,Paracetamol,IN_STOCK
MED025,H008,Ibuprofen,LOW_STOCK
MED026,H009,Paracetamol,IN_STOCK
MED027,H009,Aspirin,IN_STOCK
MED028,H009,Atorvastatin,IN_STOCK
MED029,H010,Paracetamol,IN_STOCK
MED030,H010,Amoxicillin,IN_STOCK
